Condition	Date	Count	logCount
Bleach	20210315	40000	4.60
Bleach	20210315	540	2.73
Bleach	20210315	2400	3.38
Bleach	20210315	18000	4.26
Bleach	20210315	260	2.42
Bleach	20210315	52000	4.72
Bleach	20210315	360	2.56
Bleach	20210315	3200	3.51
Bleach	20210315	400	2.60
Bleach	20210315	28000	4.45
Bleach	20210315	66000	4.82
Bleach	20210315	54000	4.73
Bleach	20210315	1400	3.15
Bleach	20210315	88000	4.94
Bleach	20210315	1600	3.20
Bleach	20210315	66000	4.82
Bleach	20210315	380	2.58
Bleach	20210315	50000	4.70
NoBleach	20210315	80	1.91
NoBleach	20210315	420	2.62
NoBleach	20210315	3600	3.56
NoBleach	20210315	58000	4.76
NoBleach	20210315	4800	3.68
NoBleach	20210315	260	2.42
NoBleach	20210315	76000	4.88
NoBleach	20210315	120000	5.08
NoBleach	20210315	5200	3.72
NoBleach	20210315	60	1.79
NoBleach	20210315	500	2.70
NoBleach	20210315	36000	4.56
NoBleach	20210315	340	2.53
NoBleach	20210315	380	2.58
NoBleach	20210315	66000	4.82
NoBleach	20210315	120000	5.08
NoBleach	20210315	120	2.08
NoBleach	20210315	1600	3.20
NoBleach	20210315	1200	3.08
NoBleach	20210315	220	2.34
NoBleach	20210315	60	1.79
NoBleach	20210315	140000	5.15
NoBleach	20210315	20000	4.30
Bleach	20210308	400	2.60
Bleach	20210308	800	2.90
Bleach	20210308	200	2.30
Bleach	20210308	54000	4.73
Bleach	20210308	6000	3.78
NoBleach	20210308	1000	3.00
NoBleach	20210308	400	2.60
NoBleach	20210308	600	2.78
NoBleach	20210308	0	0.00
NoBleach	20210308	42000	4.62
NoBleach	20210308	24000	4.38
NoBleach	20210308	3000	3.48
NoBleach	20210308	600	2.78
NoBleach	20210308	1400	3.15
NoBleach	20210308	34000	4.53
NoBleach	20210308	200	2.30
NoBleach	20210308	36000	4.56
NoBleach	20210308	520000	5.72
NoBleach	20210308	0	0.00
NoBleach	20210308	50000	4.70
NoBleach	20210308	18000	4.26
NoBleach	20210308	18000	4.26
NoBleach	20210308	6000	3.78
NoBleach	20210308	8000	3.90
NoBleach	20210308	1600	3.20
NoBleach	20210308	0	0.00
NoBleach	20210308	0	0.00
NoBleach	20210308	20000	4.30
NoBleach	20210308	800	2.90
